company,ticker,cik,cusip,,
BERKSHIRE HATHAWAY INC,BRK-B,1067983,747545101,,
BERKSHIRE HATHAWAY INC,BRK-A,1067983,747545101,,
BERONI GROUP LTD,BNIGF,1851651,Y3005A117,,
BERRY CORP (BRY),BRY,1705873,08579X101,,
BERTO ACQUISITION CORP.,TACO,2033122,G1051H101,,
BERTO ACQUISITION CORP.,TACOU,2033122,G1051H101,,
BERTO ACQUISITION CORP.,TACOW,2033122,G1051H101,,
"BESPOKE EXTRACTS, INC.",BSPK,1409197,88224Q107,,
BEST BUY CO INC,BBY,764478,086516101,,
BEST SPAC I ACQUISITION CORP.,BSAA,2051587,G1069P137,,
BEST SPAC I ACQUISITION CORP.,BSAAR,2051587,G1069P137,,
BEST SPAC I ACQUISITION CORP.,BSAAU,2051587,G1069P137,,
BESTGOFER INC.,BGFR,1722556,09260D107,,
"BETA BIONICS, INC.",BBNX,1674632,08659B102,,
BETA FINTECH HOLDINGS LTD,BTFT,2046216,36118L106,,
BETTER HOME & FINANCE HOLDING CO,BETR,1835856,08774B508,,
BETTER HOME & FINANCE HOLDING CO,BETRW,1835856,08774B508,,
BETTERLIFE PHARMA INC.,BETRF,1464165,10806X102,,
"BETTERWARE DE MEXICO, S.A.P.I. DE C.V",BWMX,1788257,93114W107,,
BEWHERE HOLDINGS INC,BEWFF,1113152,42704l104,,
BEXIL INVESTMENT TRUST,BXSY,1059213,313745101,,
"BEYOND AIR, INC.",XAIR,1641631,08862L103,,
"BEYOND COMMERCE, INC.",BYOC,1386049,29977X105,,
"BEYOND MEAT, INC.",BYND,1655210,08862E109,,
"BEYOND, INC.",BBBY,1130713,690370101,,
BEYONDSPRING INC.,BYSI,1677940,690370101,,
"BGC GROUP, INC.",BGC,1094831,12572Q105,,
BGM GROUP LTD.,BGM,1779578,Y002A1105,,
"BGSF, INC.",BGSF,1474903,05601C105,,
BHP GROUP LTD,BHP,811809,q1498m100,,
BHP GROUP LTD,BHPLF,811809,q1498m100,,
BICARA THERAPEUTICS INC.,BCAX,2023658,055477103,,
BICYCLE THERAPEUTICS PLC,BCYC,1761612,69366J200,,
BIG 5 SPORTING GOODS CORP,BGFV,1156388,08915P101,,
BIG LOTS INC,BIGGQ,768835,089302103,,
BIG TREE CLOUD HOLDINGS LTD,DSY,1999297,G72007134,,
BIG TREE CLOUD HOLDINGS LTD,DSYWW,1999297,G72007134,,
"BIGBEAR.AI HOLDINGS, INC.",BBAI,1836981,08975B109,,
"BIGBEAR.AI HOLDINGS, INC.",BBAI-WT,1836981,08975B109,,
BIGLARI HOLDINGS INC.,BH-A,1726173,08986R408,,
BIGLARI HOLDINGS INC.,BH,1726173,08986R408,,
BILIBILI INC.,BILI,1723690,090040106,,
BILIBILI INC.,BLBLF,1723690,090040106,,
"BILL HOLDINGS, INC.",BILL,1786352,090043100,,
BILLION GROUP HOLDINGS LTD,BGHL,2069821,01609W102,,
BIMERGEN ENERGY CORP,BESS,1066764,093712107,,
"BIMINI CAPITAL MANAGEMENT, INC.",BMNM,1275477,035710409,,
"BINAH CAPITAL GROUP, INC.",BCG,1953984,09032H105,,
"BINAH CAPITAL GROUP, INC.",BCGWW,1953984,09032H105,,
BINGEX LTD,FLX,1858724,h11356104,,
BIO ESSENCE CORP,BIOE,1723059,09073M104,,
BIO KEY INTERNATIONAL INC,BKYI,1019034,651718504,,
"BIO-PATH HOLDINGS, INC.",BPTH,1133818,72707C108,,
"BIO-RAD LABORATORIES, INC.",BIO,12208,21867A105,,
"BIO-RAD LABORATORIES, INC.",BIO-B,12208,21867A105,,
BIO-TECHNE CORP,TECH,842023,09073M104,,
"BIOADAPTIVES, INC.",BDPT,1575142,09075X108,,
"BIOAFFINITY TECHNOLOGIES, INC.",BIAF,1712762,09073N300,,
"BIOAFFINITY TECHNOLOGIES, INC.",BIAFW,1712762,09073N300,,
"BIOAGE LABS, INC.",BIOA,1709941,09077V100,,
"BIOATLA, INC.",BCAB,1826892,09077B104,,
"BIOCARDIA, INC.",BCDA,925741,09060U606,,
BIOCERES CROP SOLUTIONS CORP.,BIOX,1769484,15713J104,,
BIOCORRX INC.,BICX,1443863,09090D301,,
BIOCRYST PHARMACEUTICALS INC,BCRX,882796,09058V103,,
BIODESIX INC,BDSX,1439725,09075X108,,
BIODEXA PHARMACEUTICALS PLC,BDRX,1643918,59564R807,,
"BIOFORCE NANOSCIENCES HOLDINGS, INC.",BFNH,1310488,81727u105,,
BIOFRONTERA INC.,BFRI,1858685,09077D209,,
BIOFRONTERA INC.,BFRIW,1858685,09077D209,,
BIOGEN INC.,BIIB,875045,09062X103,,
BIOHARVEST SCIENCES INC.,BHST,1723464,09076J207,,
BIOHAVEN LTD.,BHVN,1935979,G1110E107,,
"BIOLARGO, INC.",BLGO,880242,09077B104,,
BIOLIFE SOLUTIONS INC,BLFS,834365,09062W204,,
BIOLINERX LTD.,BLRX,1498403,09071M304,,
BIOMARIN PHARMACEUTICAL INC,BMRN,1048477,09061G101,,
"BIOMEA FUSION, INC.",BMEA,1840439,09077A106,,
BIOMERICA INC,BMRA,73290,09061H406,,
BIOMX INC.,PHGE,1739174,09090D301,,
BION ENVIRONMENTAL TECHNOLOGIES INC,BNET,875729,09073N300,,
"BIONANO GENOMICS, INC.",BNGO,1411690,09075F404,,
BIONEXUS GENE LAB CORP,BGLC,1737523,090628306,,
BIONTECH SE,BNTX,1776985,09075V102,,
BIOQUEST CORP,BQST,1568628,03937C905,,
"BIOREGENX, INC.",BRGX,1593184,09062X103,,
"BIORESTORATIVE THERAPIES, INC.",BRTX,1505497,090655606,,
"BIOSCIENCE HEALTH INNOVATIONS, INC.",BHIC,1784440,76135L606,,
"BIOSIG TECHNOLOGIES, INC.",STEX,1530766,09073N300,,
"BIOSIG TECHNOLOGIES, INC.",BSGM,1530766,09073N300,,
BIOSTEM TECHNOLOGIES,BSEM,1658678,G7945M107,,
BIOTE CORP.,BTMD,1819253,127055101,,
BIOTRICITY INC.,BTCY,1630113,09061H406,,
BIOVAXYS TECHNOLOGY CORP.,BVAXD,1882559,05587G203,,
BIOVENTUS INC.,BVS,1665988,09075a108,,
BIOVIE INC.,BIVI,1580149,00287Y109,,
BIOVIE INC.,BIVIW,1580149,00287Y109,,
"BIOXCEL THERAPEUTICS, INC.",BTAI,1720893,09075P204,,
"BIOXYTRAN, INC",BIXT,1445815,09077B104,,
BIRCHCLIFF ENERGY LTD./ADR,BIREY,2073268,090697103,,
BIRCHCLIFF ENERGY LTD./ADR,BIREF,2073268,090697103,,
BIRCHTECH CORP.,BCHT,728385,046484309,,
BIRDIE WIN CORP,BRWC,1873213,451107106,,
BIRKENSTOCK HOLDING PLC,BIRK,1977102,M2029K104,,
BIRKS GROUP INC.,BGI,1179821,067806109,,
"BIT DIGITAL, INC",BTBT,1710350,00180N101,,
BIT MINING LTD,BTCM,1517496,055474209,,
BIT ORIGIN LTD,BTOG,1735556,G9TY5A101,,
BITCOIN DEPOT INC.,BTM,1901799,09174P105,,
BITCOIN DEPOT INC.,BTMWW,1901799,09174P105,,
BITCOIN INFRASTRUCTURE ACQUISITION CORP LTD,BIXI,2082542,60739N101,,
BITDEER TECHNOLOGIES GROUP,BTDR,1899123,G11448100,,
BITFARMS LTD,BITF,1812477,09173B107,,
BITFUFU INC.,FUFU,1921158,G1152A104,,
BITFUFU INC.,FUFUW,1921158,G1152A104,,
"BITMINE IMMERSION TECHNOLOGIES, INC.",BMNR,1829311,09175A206,,
BITTERROOT RESOURCES LTD,BITTF,1028357,03674X106,,
BITWISE 10 CRYPTO INDEX FUND,BITW,1723788,091749101,,
BITWISE BITCOIN ETF,BITB,1763415,09174C104,,
BITWISE ETHEREUM ETF,ETHW,2013744,09174C104,,
"BJ'S WHOLESALE CLUB HOLDINGS, INC.",BJ,1531152,05550J101,,
BJS RESTAURANTS INC,BJRI,1013488,09180C906,,
BK TECHNOLOGIES CORP,BKTI,2186,05587G203,,
BKV CORP,BKV,1838406,05603J108,,
"BLACK DIAMOND THERAPEUTICS, INC.",BDTX,1701541,09203E105,,
BLACK HAWK ACQUISITION CORP,BKHA,2000775,G1331A124,,
BLACK HAWK ACQUISITION CORP,BKHAR,2000775,G1331A124,,
BLACK HAWK ACQUISITION CORP,BKHAU,2000775,G1331A124,,
BLACK HILLS CORP /SD/,BKH,1130464,092113109,,
"BLACK ROCK COFFEE BAR, INC.",BRCB,2068577,02156V109,,
"BLACK STONE MINERALS, L.P.",BSM,1621434,09225m101,,
"BLACK STONE MINERALS, L.P.",BSMLP,1621434,09225m101,,
BLACK TITAN CORP,BTTC,2034400,092113109,,
BLACKBAUD INC,BLKB,1280058,09227Q100,,
BLACKBERRY LTD,BB,1070235,09228F103,,
BLACKBOXSTOCKS INC.,BLBX,1567900,09229E303,,
"BLACKLINE, INC.",BL,1666134,09239B109,,
BLACKROCK 2037 MUNICIPAL TARGET TERM TRUST,BMN,1832871,09262G108,,
BLACKROCK CALIFORNIA MUNICIPAL INCOME TRUST,BFZ,1137391,09248F109,,
BLACKROCK CAPITAL ALLOCATION TERM TRUST,BCAT,1809541,09262f100,,
BLACKROCK CORE BOND TRUST,BHK,1160864,09249E101,,
"BLACKROCK CORPORATE HIGH YIELD FUND, INC.",HYT,1222401,09255P107,,
BLACKROCK CREDIT ALLOCATION INCOME TRUST,BTZ,1379384,092508100,,
"BLACKROCK DEBT STRATEGIES FUND, INC.",DSU,1051003,09255r202,,
BLACKROCK ENERGY & RESOURCES TRUST,BGR,1306550,09250U101,,
BLACKROCK ENHANCED EQUITY DIVIDEND TRUST,BDJ,1332283,09251A104,,
BLACKROCK ENHANCED GLOBAL DIVIDEND TRUST,BOE,1320375,092501105,,
BLACKROCK ENHANCED INTERNATIONAL DIVIDEND TRUST,BGY,1393299,092524107,,
"BLACKROCK ENHANCED LARGE CAP CORE FUND, INC.",CII,1278895,09256A109,,
BLACKROCK ESG CAPITAL ALLOCATION TERM TRUST,ECAT,1864843,09262f100,,
"BLACKROCK FLOATING RATE INCOME STRATEGIES FUND, INC.",FRA,1259708,09255X100,,
BLACKROCK FLOATING RATE INCOME TRUST,BGT,1287480,091941104,,
BLACKROCK HEALTH SCIENCES TERM TRUST,BMEZ,1785971,09260e105,,
BLACKROCK HEALTH SCIENCES TRUST,BME,1314966,09260e105,,
"BLACKROCK INCOME TRUST, INC.",BKT,832327,09247F209,,
"BLACKROCK INVESTMENT QUALITY MUNICIPAL TRUST, INC.",BKN,894242,09247d105,,
BLACKROCK LONG-TERM MUNICIPAL ADVANTAGE TRUST,BTA,1343793,09250B103,,
BLACKROCK LTD DURATION INCOME TRUST,BLW,1233681,09249W101,,
BLACKROCK MULTI-SECTOR INCOME TRUST,BIT,1562818,09258A107,,
"BLACKROCK MUNIASSETS FUND, INC.",MUA,901243,09254J102,,
BLACKROCK MUNICIPAL 2030 TARGET TERM TRUST,BTT,1528437,09257P105,,
BLACKROCK MUNICIPAL INCOME QUALITY TRUST,BYM,1181187,09247d105,,
BLACKROCK MUNICIPAL INCOME TRUST,BFK,1137393,09248F109,,
BLACKROCK MUNICIPAL INCOME TRUST II,BLE,1176194,09248F109,,
"BLACKROCK MUNIHOLDINGS CALIFORNIA QUALITY FUND, INC.",MUC,1051004,09253n104,,
"BLACKROCK MUNIHOLDINGS FUND, INC.",MHD,1034665,09253n104,,
"BLACKROCK MUNIHOLDINGS NEW JERSEY QUALITY FUND, INC.",MUJ,1053988,09253n104,,
"BLACKROCK MUNIHOLDINGS NEW YORK QUALITY FUND, INC.",MHN,1038186,09253n104,,
"BLACKROCK MUNIHOLDINGS QUALITY FUND II, INC.",MUE,1071899,09253n104,,
"BLACKROCK MUNIVEST FUND II, INC.",MVT,897269,09253T101,,
"BLACKROCK MUNIVEST FUND, INC.",MVF,835948,09253R105,,
"BLACKROCK MUNIYIELD FUND, INC.",MYD,879361,09253W104,,
"BLACKROCK MUNIYIELD MICHIGAN QUALITY FUND, INC.",MIY,890393,09254F100,,
"BLACKROCK MUNIYIELD NEW YORK QUALITY FUND, INC.",MYN,882150,09254F100,,
BLACKROCK MUNIYIELD PENNSYLVANIA QUALITY FUND,MPA,891038,09254E103,,
"BLACKROCK MUNIYIELD QUALITY FUND II, INC.",MQT,887394,09254F100,,
"BLACKROCK MUNIYIELD QUALITY FUND III, INC.",MYI,883412,09254F100,,
"BLACKROCK MUNIYIELD QUALITY FUND, INC.",MQY,890196,09254F100,,
BLACKROCK NEW YORK MUNICIPAL INCOME TRUST,BNY,1137390,09248F109,,
BLACKROCK RESOURCES & COMMODITIES STRATEGY TRUST,BCX,1506289,09257A108,,
BLACKROCK SCIENCE & TECHNOLOGY TERM TRUST,BSTZ,1768666,09258g104,,
BLACKROCK SCIENCE & TECHNOLOGY TRUST,BST,1616678,09258g104,,
BLACKROCK SILVER CORP.,BKRRF,1699906,09255P107,,
BLACKROCK TAXABLE MUNICIPAL BOND TRUST,BBN,1493683,09248X100,,
BLACKROCK TCP CAPITAL CORP.,TCPC,1370755,09259E108,,
BLACKROCK TECHNOLOGY & PRIVATE EQUITY TERM TRUST,BTX,1836057,09258g104,,
"BLACKROCK UTILITIES, INFRASTRUCTURE & POWER OPPORTUNITIES TRUST",BUI,1528988,09248D104,,
BLACKROCK VIRGINIA MUNICIPAL BOND TRUST,BHV,1169034,092481100,,
"BLACKROCK, INC.",BLK,2012383,09290D101,,
BLACKSKY TECHNOLOGY INC.,BKSY,1753539,09263b207,,
BLACKSKY TECHNOLOGY INC.,BKSY-WT,1753539,09263b207,,
BLACKSTONE INC.,BX,1393818,09260D107,,
BLACKSTONE LONG-SHORT CREDIT INCOME FUND,BGX,1504234,09257D102,,
"BLACKSTONE MORTGAGE TRUST, INC.",BXMT,1061630,09257W100,,
"BLACKSTONE REAL ESTATE INCOME TRUST, INC.",BSTT,1662972,457464105,,
BLACKSTONE SECURED LENDING FUND,BXSL,1736035,09261X102,,
BLACKSTONE SENIOR FLOATING RATE 2027 TERM FUND,BSL,1486298,09256U105,,
BLACKSTONE STRATEGIC CREDIT 2027 TERM FUND,BGB,1546429,09255r202,,
BLACKWELL 3D CONSTRUCTION CORP.,BDCC,1495648,21044C107,,
"BLAIZE HOLDINGS, INC.",BZAI,1871638,092915107,,
"BLAIZE HOLDINGS, INC.",BZAIW,1871638,092915107,,
BLEICHROEDER ACQUISITION CORP. I,BACQ,2028707,G1169T104,,
BLEICHROEDER ACQUISITION CORP. I,BACQR,2028707,G1169T104,,
BLEICHROEDER ACQUISITION CORP. I,BACQU,2028707,G1169T104,,
"BLEND LABS, INC.",BLND,1855747,09352U108,,
BLINK CHARGING CO.,BLNK,1429764,09354A100,,
"BLOCK, INC.",XYZ,1512673,852234103,,
"BLOCK, INC.",BSQKZ,1512673,852234103,,
BLONDER TONGUE LABORATORIES INC,BDRL,1000683,21867A105,,
BLOOM ENERGY CORP,BE,1664703,093712107,,
"BLOOMIN' BRANDS, INC.",BLMN,1546417,094235108,,
"BLUBUZZARD, INC.",BZRD,1765826,09227Q100,,
BLUE ACQUISITION CORP/CAYMAN,BACC,2059654,G1331A124,,
BLUE ACQUISITION CORP/CAYMAN,BACCR,2059654,G1331A124,,
BLUE ACQUISITION CORP/CAYMAN,BACCU,2059654,G1331A124,,
"BLUE BIOFUELS, INC.",BIOF,1549145,09530q102,,
BLUE BIRD CORP,BLBD,1589526,095306106,,
BLUE DOLPHIN ENERGY CO,BDCO,793306,093712107,,
BLUE FOUNDRY BANCORP,BLFY,1846017,09549B104,,
BLUE GOLD LTD,BGL,2019435,38059T106,,
BLUE GOLD LTD,BGLWW,2019435,38059T106,,
BLUE HAT INTERACTIVE ENTERTAINMENT TECHNOLOGY,BHAT,1759136,411292204,,
"BLUE LINE PROTECTION GROUP, INC.",BLPG,1416697,68628v308,,
BLUE MOON METALS INC.,BMOOF,1732379,09570Q509,,
BLUE OWL CAPITAL CORP,OBDC,1655888,69121K104,,
BLUE OWL CAPITAL INC.,OWL,1823945,09581b103,,
BLUE OWL TECHNOLOGY FINANCE CORP.,OTF,1747777,095924106,,
"BLUE RIDGE BANKSHARES, INC.",BRBS,842717,095825105,,
BLUE SKY URANIUM CORP.,BKUCF,1463978,91702V101,,
BLUE STAR FOODS CORP.,BSFC,1730773,817070105,,
BLUE WATER ACQUISITION CORP. III,BLUW,2050501,G1368E122,,
BLUE WATER ACQUISITION CORP. III,BLUWU,2050501,G1368E122,,
BLUE WATER ACQUISITION CORP. III,BLUWW,2050501,G1368E122,,
"BLUEJAY DIAGNOSTICS, INC.",BJDX,1704287,095633509,,
BLUELINX HOLDINGS INC.,BXC,1301787,09624H208,,
BLUEMOUNT HOLDINGS LTD,BMHL,2027815,G72007134,,
"BLUEONE CARD, INC.",BCRD,1496690,825704109,,
BLUEPORT ACQUISITION LTD,BPAC,2064177,G1331A124,,
"BLUEROCK HOMES TRUST, INC.",BHM,1903382,09631H100,,
"BLUM HOLDINGS, INC.",BLMH,1996210,090043100,,
BLUSKY AI INC.,BSAI,1416090,17166A101,,
BM ACQUISITION CORP.,BMOK,2071607,G1331A124,,
BNY MELLON HIGH YIELD STRATEGIES FUND,DHF,1057861,69346H100,,
"BNY MELLON MUNICIPAL BOND INFRASTRUCTURE FUND, INC.",DMB,1565381,09662W109,,
"BNY MELLON STRATEGIC MUNICIPAL BOND FUND, INC.",DSM,855887,05588W108,,
"BNY MELLON STRATEGIC MUNICIPALS, INC.",LEO,818972,05588W108,,
BODHI TREE BIOTECHNOLOGY INC,BDTB,2041531,92764N102,,
BOEING CO,BA,12927,097023105,,
BOEING CO,BA-PA,12927,097023105,,
BOGOTA FINANCIAL CORP.,BSBK,1787414,097235105,,
BOISE CASCADE CO,BCC,1328581,09739d100,,
BOK FINANCIAL CORP,BOKF,875357,05561Q201,,
BOLD EAGLE ACQUISITION CORP.,BEAG,1852207,G2003N105,,
BOLD EAGLE ACQUISITION CORP.,BEAGR,1852207,G2003N105,,
BOLD EAGLE ACQUISITION CORP.,BEAGU,1852207,G2003N105,,
"BOLLINGER INNOVATIONS, INC.",BINI,1499961,051774115,,
"BOLT BIOTHERAPEUTICS, INC.",BOLT,1641281,097702203,,
"BOLT PROJECTS HOLDINGS, INC.",BSLK,1841125,09769B206,,
"BOLT PROJECTS HOLDINGS, INC.",BSLKW,1841125,09769B206,,
BOLUOC ACQUISITION CORP,LBKX,2078482,G1331A124,,
BON NATURAL LIFE LTD,BON,1816815,G9TY5A101,,
BONE BIOLOGICS CORP,BBLG,1419554,098070600,,
BONE BIOLOGICS CORP,BBLGW,1419554,098070600,,
BONSO ELECTRONICS INTERNATIONAL INC,BNSOF,846546,127190304,,
BONTERRA RESOURCES INC.,BONXF,1544770,04681A105,,
BOOKING HOLDINGS INC.,BKNG,1075531,09857L108,,
"BOOT BARN HOLDINGS, INC.",BOOT,1610250,099406100,,
BOOZ ALLEN HAMILTON HOLDING CORP,BAH,1443646,099502106,,
BOQII HOLDING LTD,BQ,1815021,G1890L107,,
BOREALIS FOODS INC.,BRLS,1852973,343498101,,
BOREALIS FOODS INC.,BRLSW,1852973,343498101,,
BOREALIS MINING CO LTD,BORMF,1994238,19425C100,,
BORGWARNER INC,BWA,908255,099724106,,
"BORQS TECHNOLOGIES, INC.",BRQSF,1650575,09073N300,,
BORR DRILLING LTD,BORR,1715497,G1466R173,,
BOS BETTER ONLINE SOLUTIONS LTD,BOSC,1005516,65290C105,,
BOSTON BEER CO INC,SAM,949870,100557107,,
BOSTON OMAHA CORP,BOC,1494582,101044105,,
BOSTON SCIENTIFIC CORP,BSX,885725,101137107,,
"BOUNDLESS BIO, INC.",BOLD,1782303,10170A100,,
BOWEN ACQUISITION CORP,BOWN,1973056,G1331A124,,
BOWEN ACQUISITION CORP,BOWNR,1973056,G1331A124,,
BOWEN ACQUISITION CORP,BOWNU,1973056,G1331A124,,
BOWHEAD SPECIALTY HOLDINGS INC.,BOW,2002473,10240L102,,
BOWMAN CONSULTING GROUP LTD.,BWMN,1847590,103002101,,
BOX INC,BOX,1372612,10316t104,,
BOXER RETAIL LIMITED/ADR,BXRLY,2056450,757468301,,
BOXLIGHT CORP,BOXL,1624512,127055101,,
BOYD GAMING CORP,BYD,906553,103304101,,
BP PLC,BP,313807,055622104,,
BP PLC,BPAQF,313807,055622104,,
BP PLC,BPPFF,313807,055622104,,
BP PRUDHOE BAY ROYALTY TRUST,BPPTU,850033,055630107,,
BRADY CORP,BRC,746598,08579X101,,
BRAEMAR HOTELS & RESORTS INC.,BHR,1574085,10482B901,,
BRAEMAR HOTELS & RESORTS INC.,BHR-PB,1574085,10482B901,,
BRAEMAR HOTELS & RESORTS INC.,BHR-PD,1574085,10482B901,,
"BRAG HOUSE HOLDINGS, INC.",TBH,1903595,104813209,,
BRAGG GAMING GROUP INC.,BRAG,1867834,104833306,,
BRAINSTORM CELL THERAPEUTICS INC.,BCLI,1137883,10501E300,,
BRAINSWAY LTD.,BWAY,1505065,10501l106,,
BRAINSWAY LTD.,BRSYF,1505065,10501l106,,
BRANCHOUT FOOD INC.,BOF,1962481,105230106,,
BRAND ENGAGEMENT NETWORK INC.,BNAI,1838163,104932108,,
BRAND ENGAGEMENT NETWORK INC.,BNAIW,1838163,104932108,,
"BRAND HOUSE COLLECTIVE, INC.",TBHC,1056285,377130406,,
BRANDYWINE REALTY TRUST,BDN,790816,105368203,,
BRANDYWINEGLOBAL-GLOBAL INCOME OPPORTUNITIES FUND INC,BWG,1504545,10537L104,,
BRASILAGRO - BRAZILIAN AGRICULTURAL REAL ESTATE CO,LND,1499849,167239102,,
BRASKEM SA,BAK,1071438,H5861P103,,
BRAVADA GOLD CORP,BGAVF,1500620,01921D204,,
BRAVO MULTINATIONAL INC.,BRVO,1444839,127190304,,
"BRAZE, INC.",BRZE,1676238,48242W106,,
BRAZIL POTASH CORP.,GRO,1472326,109542100,,
BRAZILIAN DISTRIBUTION CO COMPANHIA BRASILEIRA DE DISTR CBD,CBDBY,1038572,10554B104,,
BRAZILIAN ELECTRIC POWER CO,EBR,1439124,025537101,,
BRAZILIAN ELECTRIC POWER CO,EBR-B,1439124,025537101,,
BRAZILIAN RARE EARTHS LIMITED/ADR,BRELY,2018463,551073307,,
BRAZILIAN RARE EARTHS LIMITED/ADR,BRETF,2018463,551073307,,
BRB FOODS INC.,BRBF,1976870,343498101,,
BRBI BR PARTNERS S.A.,BRBI,2058601,69343T107,,
BRC INC.,BRCC,1891101,05601u105,,
"BREAD FINANCIAL HOLDINGS, INC.",BFH,1101215,018581108,,
BRENMILLER ENERGY LTD.,BNRG,1901215,090697103,,
BRERA HOLDINGS PLC,BREA,1939965,042068205,,
BRF S.A.,BRFS,1122491,055262505,,
BRIACELL THERAPEUTICS CORP.,BCTX,1610820,107930208,,
BRIACELL THERAPEUTICS CORP.,BCTXW,1610820,107930208,,
BRIACELL THERAPEUTICS CORP.,BCTXZ,1610820,107930208,,
"BRIDGEBIO ONCOLOGY THERAPEUTICS, INC.",BBOT,1869105,28036F105,,
"BRIDGEBIO PHARMA, INC.",BBIO,1743881,10806X102,,
"BRIDGELINE DIGITAL, INC.",BLIN,1378590,10807Q700,,
"BRIDGER AEROSPACE GROUP HOLDINGS, INC.",BAER,1941536,96812F102,,
"BRIDGER AEROSPACE GROUP HOLDINGS, INC.",BAERW,1941536,96812F102,,
BRIDGEWATER BANCSHARES INC,BWB,1341317,108621103,,
BRIDGEWATER BANCSHARES INC,BWBBP,1341317,108621103,,
BRIDGFORD FOODS CORP,BRID,14177,108763103,,
BRIGHT HORIZONS FAMILY SOLUTIONS INC.,BFAM,1437578,109194100,,
BRIGHT MINDS BIOSCIENCES INC.,DRUG,1827401,10919W405,,
"BRIGHT MOUNTAIN MEDIA, INC.",BMTM,1568385,46284V101,,
BRIGHT SCHOLAR EDUCATION HOLDINGS LTD,BEDU,1696355,53934A206,,
"BRIGHTHOUSE FINANCIAL, INC.",BHF,1685040,10922N103,,
"BRIGHTHOUSE FINANCIAL, INC.",BHFAL,1685040,10922N103,,
"BRIGHTHOUSE FINANCIAL, INC.",BHFAP,1685040,10922N103,,
"BRIGHTHOUSE FINANCIAL, INC.",BHFAM,1685040,10922N103,,
"BRIGHTHOUSE FINANCIAL, INC.",BHFAN,1685040,10922N103,,
"BRIGHTHOUSE FINANCIAL, INC.",BHFAO,1685040,10922N103,,
BRIGHTROCK GOLD CORP,BRGC,1059689,067901108,,
"BRIGHTSPIRE CAPITAL, INC.",BRSP,1717547,10949T109,,
"BRIGHTSPRING HEALTH SERVICES, INC.",BTSG,1865782,10950A106,,
"BRIGHTSPRING HEALTH SERVICES, INC.",BTSGU,1865782,10950A106,,
BRIGHTSTAR LOTTERY PLC,BRSL,1619762,G4863A108,,
"BRIGHTVIEW HOLDINGS, INC.",BV,1734713,10948C107,,
BRILLIA INC,BRIA,2000230,452327109,,
"BRILLIANT EARTH GROUP, INC.",BRLT,1866757,109504100,,
"BRINKER INTERNATIONAL, INC",EAT,703351,127190304,,
BRINKS CO,BCO,78890,109696104,,
BRISTOL MYERS SQUIBB CO,BMY,14272,110122108,,
BRISTOL MYERS SQUIBB CO,BMYMP,14272,110122108,,
BRISTOL MYERS SQUIBB CO,CELG-RI,14272,110122108,,
BRISTOW GROUP INC.,VTOL,1525221,11040G103,,
BRITISH AMERICAN TOBACCO P.L.C.,BTI,1303523,110448107,,
BRITISH AMERICAN TOBACCO P.L.C.,BTAFF,1303523,110448107,,
BRIXMOR PROPERTY GROUP INC.,BRX,1581068,11120U105,,
BRIXTON METALS CORP,BBBXF,1548958,115637209,,
"BROAD STREET REALTY, INC.",BRST,764897,038923108,,
BROADCOM INC.,AVGO,1730168,11135F101,,
"BROADRIDGE FINANCIAL SOLUTIONS, INC.",BR,1383312,11133T103,,
"BROADSTONE NET LEASE, INC.",BNL,1424182,11135E203,,
BROADWAY FINANCIAL CORP DE,BYFC,1001171,861780104,,
"BROADWIND, INC.",BWEN,1120370,11161T207,,
BROOGE ENERGY LTD,BROGF,1774983,46500E867,,
BROOKDALE SENIOR LIVING INC.,BKD,1332349,112463104,,
BROOKFIELD ASSET MANAGEMENT LTD.,BAM,1937926,113004105,,
BROOKFIELD BUSINESS CORP,BBUC,1871130,G16234109,,
BROOKFIELD BUSINESS PARTNERS L.P.,BBU,1654795,G16234109,,
BROOKFIELD CORP /ON/,BN,1001085,11271J107,,
BROOKFIELD CORP /ON/,BAMGF,1001085,11271J107,,
BROOKFIELD CORP /ON/,BAMKF,1001085,11271J107,,
BROOKFIELD CORP /ON/,BKAMF,1001085,11271J107,,
BROOKFIELD CORP /ON/,BKFAF,1001085,11271J107,,
BROOKFIELD CORP /ON/,BKFDF,1001085,11271J107,,
BROOKFIELD CORP /ON/,BKFOF,1001085,11271J107,,
BROOKFIELD CORP /ON/,BKFPF,1001085,11271J107,,
BROOKFIELD CORP /ON/,BKFSF,1001085,11271J107,,
BROOKFIELD CORP /ON/,BKPA,1001085,11271J107,,
BROOKFIELD CORP /ON/,BNH,1001085,11271J107,,
BROOKFIELD CORP /ON/,BNJ,1001085,11271J107,,
BROOKFIELD CORP /ON/,BRCFF,1001085,11271J107,,
BROOKFIELD CORP /ON/,BRFCF,1001085,11271J107,,
BROOKFIELD CORP /ON/,BROXF,1001085,11271J107,,
BROOKFIELD CORP /ON/,BRPSF,1001085,11271J107,,
BROOKFIELD CORP /ON/,BXDIF,1001085,11271J107,,
BROOKFIELD DTLA FUND OFFICE TRUST INVESTOR INC.,DTLAP,1575311,11276h106,,
BROOKFIELD INFRASTRUCTURE CORP,BIPC,1788348,11276h106,,
BROOKFIELD INFRASTRUCTURE PARTNERS L.P.,BIP,1406234,11276h106,,
BROOKFIELD INFRASTRUCTURE PARTNERS L.P.,BIPH,1406234,11276h106,,
